index,program_name,category
1446,Industrial Civil Eingeneer,Engineering 
1447,Computer And Information Systems Security/information Assurance,Software and Computer Engineering
1448,Caia,Software and Computer Engineering
1449,Cfa,Banking and Finance Specialization
1450,Hon Bmath Mathematics/computer Science,Software and Computer Engineering
1451,Sound Arts,Engineering 
1452,Laurea Theoretical Physics,General Sciences
1453,Graduate Studies Program Exponential Tecnologies,Software and Computer Engineering
1454,"Physics, Quantum Fields And Fundamental Forces",Mathematics and Finance
1455,"Communications, Public Relations",Law and International Relations
1456,"It, Cisa",Law and International Relations
1457,Talpiot,History and Social Sciences
1458,Theatre And Musical Theatre,Cultural and Regional Studies
1459,Nutrition And Dietetics,Marketing and Economics
1460,"International Affairs Joint Degree Finance And Economics, Social And Political Development, Media And Communications",International Business and Finance
1461,"Marketing, Multimedia Design",Marketing and Economics
1462,Innovation,Engineering 
1463,Political Science And Literature,History and Social Sciences
1464,Migration Studies,Cultural and Regional Studies
1465,Deep Tech,Engineering 
1466,Postgraduate Entrepreneurship Track,International Business and Finance
1467,Biological Sciences And Bioinformatics,Molecular and Biological Sciences
1468,Strategy And Business Development,Marketing and Economics
1469,"Physics, History And Philosophy Of Science",History and Social Sciences
1470,Interdisciplinary Leadership,General Sciences
1471,Double Financial Engineering And Statistics,Mathematics and Finance
1472,Front,General Sciences
1473,"Public Policy, Political Science",History and Social Sciences
1474,"Statistics, Mathematics",Mathematics and Finance
1475,Law And Business Administration,Law and International Relations
1476,Egenharia Informatica,Information and Data Management
1477,Post,Engineering 
1478,Studied Relationship Between Public Opinion And Humanitarian Intervention,Law and International Relations
1479,Political Science And Global Studies,Law and International Relations
1480,Investing,Mathematics and Finance
1481,Organizational Psychotherapy,Psychology and Counseling
1482,University Learning And Teaching,Engineering 
1483,Aerodynamics,Engineering 
1484,"Electronic Media, Arts, And Communications",Marketing and Economics
1485,"Information Systems, Minor In Business Statistics",Information and Data Management
1486,Comp Sci,General Sciences
1487,Major: Cognitive Science With A Computer Science Specialization,Software and Computer Engineering
1488,"Engineering, Finance",Engineering 
1489,Human Computer Interface,Software and Computer Engineering
1490,History: Thesis,History and Social Sciences
1491,"Operations Research, Strategy, Organizational Behavior, Game Theory",Marketing and Economics
1492,Sillicon Valley Innovation And Entrepreneurship Program,Marketing and Economics
1493,Corporate Finance And Strategy,Mathematics and Finance
1494,Uc Berkeley Institute Of Transportation Studies,Engineering 
1495,"Mathematics, Economy And Geopolitics",Mathematics and Finance
1496,International Private Law,Law and International Relations
1497,Startup And Entrepreneurship,Marketing and Economics
1498,Ma,Philosophy and Cognitive Studies
1499,Interactive Media,Information and Data Management
1500,"Computing, Ict",Software and Computer Engineering
1501,Information Technology And Informatics,Information and Data Management
1502,Digital Comms,Information and Data Management
1503,Environments Design,Engineering 
1504,Economics And Finance Amd International Studies,International Business and Finance
1505,"Bsc And Msc In Computer Science And Engineering, Computer Science",Software and Computer Engineering
1506,International Business And Economics,International Business and Finance
1507,Business Studies,Marketing and Economics
1508,Management Sciences,General Sciences
1509,International Development And Humanitarian Assistance,Law and International Relations
1510,Development Economics And International Development,International Business and Finance
1511,E,Engineering 
1512,"Strategy, Operations And Technology Management",Information and Data Management
1513,International Business: China,International Business and Finance
1514,"Finance, Entrepreneurship, Accounting",Banking and Finance Specialization
1515,System Analyst,Software and Computer Engineering
1516,"History, Art, Philosophy",History and Social Sciences
1517,Principles Of Management,Information and Data Management
1518,"Master Management, Technology, And Economics",Marketing and Economics
1519,Nlp And Explainable Ai In Moral Judgment,Law and International Relations
1520,Computational Media,Software and Computer Engineering
1521,Computer Engineering Gradeexchange Student,Software and Computer Engineering
1522,Applied Mathematics In Computer Science,Software and Computer Engineering
1523,Dentistry,Engineering 
1524,Whatever's Needed/and Or Fun Right Now,Information and Data Management
1525,European And Middle Eastern Languages And Linguistics,Cultural and Regional Studies
1526,Advanced Software Engineering Immersive,Software and Computer Engineering
1527,"Mathematics, Physics, Chemistry",Mathematics and Finance
1528,"Physics, Entrepreneurship",Engineering 
1529,"French Literature, History And Architecture",History and Social Sciences
1530,"French, Theater",Cultural and Regional Studies
1531,Sustainable Business/ Entrepreneurial Economics,Marketing and Economics
1532,Computer And Electronic Engineering,Software and Computer Engineering
1533,Electrics,Engineering 
1534,Department Of Automation,Software and Computer Engineering
1535,Computational Mathematics,Mathematics and Finance
1536,Pharmacology,Molecular and Biological Sciences
1537,Informatica,Information and Data Management
1538,Y Combinator W20 Batch,Software and Computer Engineering
1539,Jurisprudence,Law and International Relations
1540,Finance With Computer Science Classes,Mathematics and Finance
1541,"A*, A*, A*, Kc Shasha Economics Prize",Marketing and Economics
1542,Bsc Accounting And Finance,Banking and Finance Specialization
1543,"Ethics, Politics, And Economics",Marketing and Economics
1544,Health Sciences And Technology,Molecular and Biological Sciences
1545,Nanotechnology Enterprise,Engineering 
1546,Science Maths,Mathematics and Finance
1547,Microelectronics And Vlsi Design,Engineering 
1548,Product Management And Marketing,Marketing and Economics
1549,"Physcics, Chemestry, Mathematics, Economics, English",Mathematics and Finance
1550,Dba,Information and Data Management
1551,Information Management,Information and Data Management
1552,Painting And Neon,Engineering 
1553,Industrial Biotechnology,Engineering 
1554,Intl Business,International Business and Finance
1555,Graphic Design And Fine Arts,Engineering 
1556,Italian Language And Culture,Cultural and Regional Studies
1557,Psychology And Women's Studies,Psychology and Counseling
1558,Ocean Engineering,Engineering 
1559,"Mechanical/ocean Engineering, Design, Entrepreneurship",Engineering 
1560,Fintech,Banking and Finance Specialization
1561,Multimedia Design,Software and Computer Engineering
1562,"Business Adminstration, General Management",General Sciences
1563,General Scholar,General Sciences
1564,Exchange Program Participant,Software and Computer Engineering
1565,"Management And Organizational Studies, Finance And Administration Stream",Mathematics and Finance
1566,Web And Information Technology,Software and Computer Engineering
1567,Omniture Certified Professional: Sitecatalyst And Implementation,Software and Computer Engineering
1568,Search Engine Optimization,Information and Data Management
1569,"Human Computer Interaction, Decision Science",Software and Computer Engineering
1570,Programming,Software and Computer Engineering
1571,"Electrical, Electronics And Communications Engineering",Engineering 
1572,Science Focused,General Sciences
1573,Data Science And Finance,Mathematics and Finance
